version,os,downloads,type,created_at
0.15.09,linux,1899,arm64.AppImage,1658853650.0
0.15.09,linux,118,arm64.tar.gz,1658853650.0
0.15.09,mac,185674,universal.dmg,1658853650.0
0.15.09,linux,36425,AppImage,1658853650.0
0.15.09,linux,1726,tar.gz,1658853650.0
0.15.09,windows,2263,32.exe,1658853650.0
0.15.09,windows,3430,arm64.exe,1658853650.0
0.15.09,windows,281006,exe,1658853650.0
0.15.09,linux,11859,amd64.deb,1658853650.0
0.15.09,linux,15526,amd64.snap,1658853650.0
0.15.08,linux,299,arm64.AppImage,1658513230.0
0.15.08,mac,23186,universal.dmg,1658513230.0
0.15.08,linux,3976,AppImage,1658513230.0
0.15.08,linux,116,tar.gz,1658513230.0
0.15.08,windows,372,32.exe,1658513230.0
0.15.08,windows,513,arm64.exe,1658513230.0
0.15.08,windows,38182,exe,1658513230.0
0.15.08,linux,1372,amd64.deb,1658513230.0
0.15.08,linux,1789,amd64.snap,1658513230.0
0.15.06,linux,387,arm64.AppImage,1657641762.0
0.15.06,mac,24022,universal.dmg,1657641762.0
0.15.06,linux,8397,AppImage,1657641762.0
0.15.06,linux,134,tar.gz,1657641762.0
0.15.06,windows,598,32.exe,1657641762.0
0.15.06,windows,488,arm64.exe,1657641762.0
0.15.06,windows,44506,exe,1657641762.0
0.15.06,linux,1987,amd64.deb,1657641762.0
0.15.06,linux,2764,amd64.snap,1657641762.0
0.14.15,linux,1218,arm64.AppImage,1654604018.0
0.14.15,mac,63365,universal.dmg,1654604018.0
0.14.15,linux,21391,AppImage,1654604018.0
0.14.15,linux,1149,tar.gz,1654604018.0
0.14.15,windows,1186,32.exe,1654604018.0
0.14.15,windows,1314,arm64.exe,1654604018.0
0.14.15,windows,123381,exe,1654604018.0
0.14.15,linux,6378,amd64.deb,1654604018.0
0.14.15,linux,8462,amd64.snap,1654604018.0
0.14.06,linux,1270,arm64.AppImage,1650302993.0
0.14.06,mac,93651,universal.dmg,1650302993.0
0.14.06,linux,34131,AppImage,1650302993.0
0.14.06,linux,1984,tar.gz,1650302993.0
0.14.06,windows,1665,32.exe,1650302993.0
0.14.06,windows,1667,arm64.exe,1650302993.0
0.14.06,windows,175664,exe,1650302993.0
0.14.06,linux,8802,amd64.deb,1650302993.0
0.14.06,linux,13929,amd64.snap,1650302993.0
0.14.05,linux,104,arm64.AppImage,1649678996.0
0.14.05,mac,16232,universal.dmg,1649678996.0
0.14.05,linux,6074,AppImage,1649678996.0
0.14.05,linux,106,tar.gz,1649678996.0
0.14.05,windows,262,32.exe,1649678996.0
0.14.05,windows,245,arm64.exe,1649678996.0
0.14.05,windows,28220,exe,1649678996.0
0.14.05,linux,169,amd64.deb,1649678996.0
0.14.05,linux,1943,amd64.snap,1649678996.0
0.14.02,mac,34774,universal.dmg,1648471650.0
0.14.02,linux,12547,AppImage,1648471650.0
0.14.02,linux,227,tar.gz,1648471650.0
0.14.02,windows,62718,exe,1648471650.0
0.14.02,linux,4307,amd64.snap,1648471650.0
0.13.31,linux,740,arm64.AppImage,1646777054.0
0.13.31,linux,610,arm64.tar.gz,1646777054.0
0.13.31,mac,42151,universal.dmg,1646777054.0
0.13.31,linux,14403,AppImage,1646777054.0
0.13.31,linux,118,tar.gz,1646777054.0
0.13.31,windows,1332,32.exe,1646777054.0
0.13.31,windows,1114,arm64.exe,1646777054.0
0.13.31,windows,75047,exe,1646777054.0
0.13.31,linux,5727,amd64.deb,1646777054.0
0.13.31,linux,5193,amd64.snap,1646777054.0
0.13.30,linux,60,arm64.AppImage,1646662381.0
0.13.30,linux,39,arm64.tar.gz,1646662381.0
0.13.30,mac,4662,universal.dmg,1646662381.0
0.13.30,linux,1564,AppImage,1646662381.0
0.13.30,linux,1045,tar.gz,1646662381.0
0.13.30,windows,76,32.exe,1646662381.0
0.13.30,windows,94,arm64.exe,1646662381.0
0.13.30,windows,9065,exe,1646662381.0
0.13.30,linux,257,amd64.deb,1646662381.0
0.13.30,linux,430,amd64.snap,1646662381.0
0.13.24,mac,245,universal.dmg,1643315702.0
0.13.24,linux,332,AppImage,1643315702.0
0.13.24,linux,103,tar.gz,1643315702.0
0.13.24,windows,2334,exe,1643315702.0
0.13.24,linux,40,amd64.snap,1643315702.0
0.13.23,mac,70780,universal.dmg,1643315702.0
0.13.23,linux,25222,AppImage,1643315702.0
0.13.23,linux,5704,tar.gz,1643315702.0
0.13.23,windows,121503,exe,1643315702.0
0.13.23,linux,9929,amd64.snap,1643315702.0
0.13.19,mac,41104,universal.dmg,1641409592.0
0.13.19,linux,14910,AppImage,1641409592.0
0.13.19,linux,5467,tar.gz,1641409592.0
0.13.19,windows,73159,exe,1641409592.0
0.13.19,linux,5305,amd64.snap,1641409592.0
0.13.14,mac,28371,universal.dmg,1640077091.0
0.13.14,linux,9536,AppImage,1640077091.0
0.13.14,linux,3829,tar.gz,1640077091.0
0.13.14,windows,46207,exe,1640077091.0
0.13.14,linux,3162,amd64.snap,1640077091.0
0.12.19,mac,98492,universal.dmg,1634566796.0
0.12.19,linux,37494,AppImage,1634566796.0
0.12.19,linux,8333,tar.gz,1634566796.0
0.12.19,windows,166473,exe,1634566796.0
0.12.19,linux,13689,amd64.snap,1634566796.0
0.12.15,linux,2277,arm64.AppImage,1630248134.0
0.12.15,linux,2134,arm64.tar.gz,1630248134.0
0.12.15,mac,58038,universal.dmg,1630248134.0
0.12.15,linux,23993,AppImage,1630248134.0
0.12.15,linux,5261,tar.gz,1630248134.0
0.12.15,windows,4274,32.exe,1630248134.0
0.12.15,windows,3661,arm64.exe,1630248134.0
0.12.15,windows,106512,exe,1630248134.0
0.12.15,linux,17612,amd64.deb,1630248134.0
0.12.15,linux,9576,amd64.snap,1630248134.0
0.12.12,mac,42662,universal.dmg,1627316637.0
0.12.12,linux,14174,AppImage,1627316637.0
0.12.12,linux,2032,tar.gz,1627316637.0
0.12.12,windows,67534,exe,1627316637.0
0.12.12,linux,5759,amd64.snap,1627316637.0
0.12.10,mac,29905,universal.dmg,1625690110.0
0.12.10,linux,10695,AppImage,1625690110.0
0.12.10,linux,3219,tar.gz,1625690110.0
0.12.10,windows,42279,exe,1625690110.0
0.12.10,linux,3966,amd64.snap,1625690110.0
0.12.05,mac,15554,universal.dmg,1623087541.0
0.12.05,linux,7618,AppImage,1623087541.0
0.12.05,linux,1295,tar.gz,1623087541.0
0.12.05,windows,24583,exe,1623087541.0
0.12.05,linux,2541,amd64.snap,1623087541.0
0.12.04,mac,10801,universal.dmg,1621955286.0
0.12.04,linux,5792,AppImage,1621955286.0
0.12.04,linux,1237,tar.gz,1621955286.0
0.12.04,windows,18678,exe,1621955286.0
0.12.04,linux,1834,amd64.snap,1621955286.0
0.12.03,mac,25864,universal.dmg,1620671263.0
0.12.03,linux,11828,AppImage,1620671263.0
0.12.03,linux,3037,tar.gz,1620671263.0
0.12.03,windows,39948,exe,1620671263.0
0.12.03,linux,3991,amd64.snap,1620671263.0
0.11.13,mac,28977,universal.dmg,1617548200.0
0.11.13,linux,13483,AppImage,1617548200.0
0.11.13,linux,1499,tar.gz,1617548200.0
0.11.13,windows,43719,exe,1617548200.0
0.11.13,linux,5045,amd64.snap,1617548200.0
0.11.09,mac,9767,universal.dmg,1616317974.0
0.11.09,linux,5283,AppImage,1616317974.0
0.11.09,linux,895,tar.gz,1616317974.0
0.11.09,windows,14016,exe,1616317974.0
0.11.09,linux,1592,amd64.snap,1616317974.0
0.11.05,mac,14299,universal.dmg,1614725773.0
0.11.05,linux,6690,AppImage,1614725773.0
0.11.05,linux,161,tar.gz,1614725773.0
0.11.05,windows,24368,exe,1614725773.0
0.11.05,linux,2053,amd64.snap,1614725773.0
0.11.03,mac,8210,universal.dmg,1613853238.0
0.11.03,linux,3542,AppImage,1613853238.0
0.11.03,linux,46,tar.gz,1613853238.0
0.11.03,windows,12319,exe,1613853238.0
0.11.03,linux,1050,amd64.snap,1613853238.0
0.11.0,mac,13120,universal.dmg,1612904083.0
0.11.0,linux,5543,AppImage,1612904083.0
0.11.0,linux,79,tar.gz,1612904083.0
0.11.0,windows,19612,exe,1612904083.0
0.11.0,linux,1885,amd64.snap,1612904083.0
0.10.13,mac,6998,universal.dmg,1612572024.0
0.10.13,linux,3338,AppImage,1612572024.0
0.10.13,linux,28,tar.gz,1612572024.0
0.10.13,windows,9260,exe,1612572024.0
0.10.13,linux,1094,amd64.snap,1612572024.0
0.10.11,mac,9534,universal.dmg,1611849034.0
0.10.11,linux,4356,AppImage,1611849034.0
0.10.11,linux,29,tar.gz,1611849034.0
0.10.11,windows,12151,exe,1611849034.0
0.10.11,linux,1315,amd64.snap,1611849034.0
0.10.09,mac,2888,universal.dmg,1611080855.0
0.10.09,linux,1296,AppImage,1611080855.0
0.10.09,linux,14,tar.gz,1611080855.0
0.10.09,windows,4084,exe,1611080855.0
0.10.09,linux,317,amd64.snap,1611080855.0
0.10.08,linux,2102,AppImage,1610405705.0
0.10.08,mac,5598,dmg,1610405705.0
0.10.08,linux,14,tar.gz,1610405705.0
0.10.08,windows,6443,exe,1610405705.0
0.10.08,linux,552,amd64.snap,1610405705.0
0.10.07,mac,200,arm64.dmg,1610045847.0
0.10.07,linux,3187,AppImage,1610045847.0
0.10.07,mac,7644,dmg,1610045847.0
0.10.07,linux,25,tar.gz,1610045847.0
0.10.07,windows,10444,exe,1610045847.0
0.10.07,linux,874,amd64.snap,1610045847.0
0.10.06,mac,156,arm64.dmg,1609800080.0
0.10.06,linux,2428,AppImage,1609800080.0
0.10.06,mac,5926,dmg,1609800080.0
0.10.06,linux,12,tar.gz,1609800080.0
0.10.06,windows,7662,exe,1609800080.0
0.10.06,linux,656,amd64.snap,1609800080.0
0.10.01,mac,298,arm64.dmg,1608150092.0
0.10.01,linux,3778,AppImage,1608150092.0
0.10.01,mac,9874,dmg,1608150092.0
0.10.01,linux,25,tar.gz,1608150092.0
0.10.01,windows,12397,exe,1608150092.0
0.10.01,linux,1246,amd64.snap,1608150092.0
0.09.22,mac,135,arm64.dmg,1607426181.0
0.09.22,linux,2157,AppImage,1607426181.0
0.09.22,mac,5165,dmg,1607426181.0
0.09.22,linux,17,tar.gz,1607426181.0
0.09.22,windows,6893,exe,1607426181.0
0.09.22,linux,508,amd64.snap,1607426181.0
0.09.20,mac,152,arm64.dmg,1606948147.0
0.09.20,linux,1933,AppImage,1606948147.0
0.09.20,mac,4742,dmg,1606948147.0
0.09.20,linux,25,tar.gz,1606948147.0
0.09.20,windows,5902,exe,1606948147.0
0.09.20,linux,12987,amd64.deb,1606948147.0
0.09.20,linux,526,amd64.snap,1606948147.0
0.09.17,linux,1896,arm64.AppImage,1605945301.0
0.09.17,mac,206,arm64.dmg,1605945301.0
0.09.17,linux,1731,arm64.tar.gz,1605945301.0
0.09.17,linux,4149,AppImage,1605945301.0
0.09.17,mac,9095,dmg,1605945301.0
0.09.17,linux,46,tar.gz,1605945301.0
0.09.17,windows,3118,32.exe,1605945301.0
0.09.17,windows,1915,arm64.exe,1605945301.0
0.09.17,windows,13559,exe,1605945301.0
0.09.17,linux,1221,amd64.snap,1605945301.0
0.09.15,linux,2110,AppImage,1605658724.0
0.09.15,mac,5636,dmg,1605658724.0
0.09.15,linux,32,tar.gz,1605658724.0
0.09.15,windows,6691,exe,1605658724.0
0.09.15,linux,607,amd64.snap,1605658724.0
0.09.11,linux,2172,AppImage,1604442243.0
0.09.11,mac,6061,dmg,1604442243.0
0.09.11,linux,32,tar.gz,1604442243.0
0.09.11,windows,7558,exe,1604442243.0
0.09.11,linux,605,amd64.snap,1604442243.0
0.09.10,linux,1980,AppImage,1604104630.0
0.09.10,mac,4760,dmg,1604104630.0
0.09.10,linux,17,tar.gz,1604104630.0
0.09.10,windows,7453,exe,1604104630.0
0.09.10,linux,541,amd64.snap,1604104630.0
0.09.06,linux,2562,AppImage,1603200047.0
0.09.06,mac,7005,dmg,1603200047.0
0.09.06,linux,17,tar.gz,1603200047.0
0.09.06,windows,8497,exe,1603200047.0
0.09.06,linux,733,amd64.snap,1603200047.0
0.09.04,linux,2044,AppImage,1602591529.0
0.09.04,mac,4901,dmg,1602591529.0
0.09.04,linux,40,tar.gz,1602591529.0
0.09.04,windows,6053,exe,1602591529.0
0.09.04,linux,590,amd64.snap,1602591529.0
0.09.03,linux,1939,AppImage,1601920153.0
0.09.03,mac,4131,dmg,1601920153.0
0.09.03,linux,40,tar.gz,1601920153.0
0.09.03,windows,5167,exe,1601920153.0
0.09.03,linux,629,amd64.snap,1601920153.0
0.09.02,linux,2076,AppImage,1601487218.0
0.09.02,mac,4062,dmg,1601487218.0
0.09.02,linux,39,tar.gz,1601487218.0
0.09.02,windows,4748,exe,1601487218.0
0.09.02,linux,593,amd64.snap,1601487218.0
0.09.01,linux,1897,AppImage,1600967260.0
0.09.01,mac,4042,dmg,1600967260.0
0.09.01,linux,20,tar.gz,1600967260.0
0.09.01,windows,4910,exe,1600967260.0
0.09.01,linux,599,amd64.snap,1600967260.0
0.08.15,linux,2040,AppImage,1600111550.0
0.08.15,mac,4109,dmg,1600111550.0
0.08.15,windows,4850,exe,1600111550.0
0.08.15,linux,805,amd64.snap,1600111550.0
0.08.14,linux,2080,AppImage,1599766772.0
0.08.14,mac,4579,dmg,1599766772.0
0.08.14,windows,5878,exe,1599766772.0
0.08.14,linux,661,amd64.snap,1599766772.0
0.08.12,linux,1985,AppImage,1599499426.0
0.08.12,mac,4555,dmg,1599499426.0
0.08.12,windows,5452,exe,1599499426.0
0.08.12,linux,540,amd64.snap,1599499426.0
0.08.09,linux,1992,AppImage,1598891801.0
0.08.09,mac,4880,dmg,1598891801.0
0.08.09,windows,6199,exe,1598891801.0
0.08.09,linux,660,amd64.snap,1598891801.0
0.08.04,linux,3675,AppImage,1597243912.0
0.08.04,mac,8262,dmg,1597243912.0
0.08.04,windows,12432,exe,1597243912.0
0.08.04,linux,1368,amd64.snap,1597243912.0
0.08.02,linux,3435,AppImage,1596128683.0
0.08.02,mac,6199,dmg,1596128683.0
0.08.02,windows,9603,exe,1596128683.0
0.08.02,linux,968,amd64.snap,1596128683.0
0.08.01,linux,1804,AppImage,1595355257.0
0.08.01,mac,5064,dmg,1595355257.0
0.08.01,windows,7185,exe,1595355257.0
0.08.01,linux,590,amd64.snap,1595355257.0
0.08.0,linux,2077,AppImage,1594693447.0
0.08.0,mac,5041,dmg,1594693447.0
0.08.0,windows,6789,exe,1594693447.0
0.08.0,linux,665,amd64.snap,1594693447.0
0.07.06,linux,2037,AppImage,1593742517.0
0.07.06,mac,5615,dmg,1593742517.0
0.07.06,windows,7333,exe,1593742517.0
0.07.06,linux,692,amd64.snap,1593742517.0
0.07.04,linux,1527,AppImage,1592938708.0
0.07.04,mac,3709,dmg,1592938708.0
0.07.04,windows,5176,exe,1592938708.0
0.07.04,linux,526,amd64.snap,1592938708.0
0.07.03,linux,2855,AppImage,1592167757.0
0.07.03,mac,8585,dmg,1592167757.0
0.07.03,windows,9742,exe,1592167757.0
0.07.03,linux,1087,amd64.snap,1592167757.0
0.06.07,linux,2499,AppImage,1591117833.0
0.06.07,mac,7402,dmg,1591117833.0
0.06.07,windows,8575,exe,1591117833.0
0.06.07,linux,1087,amd64.snap,1591117833.0
0.06.05,linux,1231,AppImage,1590783443.0
0.06.05,mac,3746,dmg,1590783443.0
0.06.05,windows,2499,exe,1590783443.0
0.06.05,linux,397,amd64.snap,1590783443.0
0.06.04,linux,3054,AppImage,1590452076.0
0.06.04,mac,7863,dmg,1590452076.0
0.06.04,windows,4857,exe,1590452076.0
0.06.04,linux,1222,amd64.snap,1590452076.0
