version,created_at,os,downloads
0.06.04,1590452076.0,linux,4276
0.06.04,1590452076.0,mac,7863
0.06.04,1590452076.0,windows,4857
0.06.07,1591117833.0,linux,3586
0.06.07,1591117833.0,mac,7402
0.06.07,1591117833.0,windows,8575
0.07.03,1592167757.0,linux,3942
0.07.03,1592167757.0,mac,8585
0.07.03,1592167757.0,windows,9742
0.07.04,1592938708.0,linux,2053
0.07.04,1592938708.0,mac,3709
0.07.04,1592938708.0,windows,5176
0.07.06,1593742517.0,linux,2729
0.07.06,1593742517.0,mac,5615
0.07.06,1593742517.0,windows,7333
0.08.0,1594693447.0,linux,2742
0.08.0,1594693447.0,mac,5041
0.08.0,1594693447.0,windows,6789
0.08.01,1595355257.0,linux,2394
0.08.01,1595355257.0,mac,5064
0.08.01,1595355257.0,windows,7185
0.08.02,1596128683.0,linux,4403
0.08.02,1596128683.0,mac,6199
0.08.02,1596128683.0,windows,9603
0.08.04,1597243912.0,linux,5043
0.08.04,1597243912.0,mac,8262
0.08.04,1597243912.0,windows,12432
0.08.09,1598891801.0,linux,2652
0.08.09,1598891801.0,mac,4880
0.08.09,1598891801.0,windows,6199
0.08.12,1599499426.0,linux,2525
0.08.12,1599499426.0,mac,4555
0.08.12,1599499426.0,windows,5452
0.08.14,1599766772.0,linux,2741
0.08.14,1599766772.0,mac,4579
0.08.14,1599766772.0,windows,5878
0.08.15,1600111550.0,linux,2845
0.08.15,1600111550.0,mac,4109
0.08.15,1600111550.0,windows,4850
0.09.01,1600967260.0,linux,2516
0.09.01,1600967260.0,mac,4042
0.09.01,1600967260.0,windows,4910
0.09.02,1601487218.0,linux,2708
0.09.02,1601487218.0,mac,4062
0.09.02,1601487218.0,windows,4748
0.09.03,1601920153.0,linux,2608
0.09.03,1601920153.0,mac,4131
0.09.03,1601920153.0,windows,5167
0.09.04,1602591529.0,linux,2674
0.09.04,1602591529.0,mac,4901
0.09.04,1602591529.0,windows,6053
0.09.06,1603200047.0,linux,3312
0.09.06,1603200047.0,mac,7005
0.09.06,1603200047.0,windows,8497
0.09.10,1604104630.0,linux,2538
0.09.10,1604104630.0,mac,4760
0.09.10,1604104630.0,windows,7453
0.09.11,1604442243.0,linux,2809
0.09.11,1604442243.0,mac,6061
0.09.11,1604442243.0,windows,7558
0.09.15,1605658724.0,linux,2749
0.09.15,1605658724.0,mac,5636
0.09.15,1605658724.0,windows,6691
0.09.17,1605945301.0,linux,9043
0.09.17,1605945301.0,mac,9301
0.09.17,1605945301.0,windows,18592
0.09.20,1606948147.0,linux,15471
0.09.20,1606948147.0,mac,4894
0.09.20,1606948147.0,windows,5902
0.09.22,1607426181.0,linux,2682
0.09.22,1607426181.0,mac,5300
0.09.22,1607426181.0,windows,6893
0.10.01,1608150092.0,linux,5049
0.10.01,1608150092.0,mac,10172
0.10.01,1608150092.0,windows,12397
0.10.06,1609800080.0,linux,3096
0.10.06,1609800080.0,mac,6082
0.10.06,1609800080.0,windows,7662
0.10.07,1610045847.0,linux,4086
0.10.07,1610045847.0,mac,7844
0.10.07,1610045847.0,windows,10444
0.10.08,1610405705.0,linux,2668
0.10.08,1610405705.0,mac,5598
0.10.08,1610405705.0,windows,6443
0.10.11,1611849034.0,linux,5700
0.10.11,1611849034.0,mac,9534
0.10.11,1611849034.0,windows,12151
0.10.13,1612572024.0,linux,4460
0.10.13,1612572024.0,mac,6998
0.10.13,1612572024.0,windows,9260
0.11.0,1612904083.0,linux,7507
0.11.0,1612904083.0,mac,13120
0.11.0,1612904083.0,windows,19612
0.11.03,1613853238.0,linux,4638
0.11.03,1613853238.0,mac,8210
0.11.03,1613853238.0,windows,12319
0.11.05,1614725773.0,linux,8904
0.11.05,1614725773.0,mac,14299
0.11.05,1614725773.0,windows,24368
0.11.09,1616317974.0,linux,7770
0.11.09,1616317974.0,mac,9767
0.11.09,1616317974.0,windows,14016
0.11.13,1617548200.0,linux,20027
0.11.13,1617548200.0,mac,28977
0.11.13,1617548200.0,windows,43719
0.12.03,1620671263.0,linux,18856
0.12.03,1620671263.0,mac,25864
0.12.03,1620671263.0,windows,39948
0.12.04,1621955286.0,linux,8863
0.12.04,1621955286.0,mac,10801
0.12.04,1621955286.0,windows,18678
0.12.05,1623087541.0,linux,11454
0.12.05,1623087541.0,mac,15554
0.12.05,1623087541.0,windows,24583
0.12.10,1625690110.0,linux,17880
0.12.10,1625690110.0,mac,29905
0.12.10,1625690110.0,windows,42279
0.12.12,1627316637.0,linux,21965
0.12.12,1627316637.0,mac,42662
0.12.12,1627316637.0,windows,67534
0.12.15,1630248134.0,linux,60853
0.12.15,1630248134.0,mac,58038
0.12.15,1630248134.0,windows,114447
0.12.19,1634566796.0,linux,59516
0.12.19,1634566796.0,mac,98492
0.12.19,1634566796.0,windows,166473
0.13.14,1640077091.0,linux,16527
0.13.14,1640077091.0,mac,28371
0.13.14,1640077091.0,windows,46207
0.13.19,1641409592.0,linux,25682
0.13.19,1641409592.0,mac,41104
0.13.19,1641409592.0,windows,73159
0.13.23,1643315702.0,linux,40855
0.13.23,1643315702.0,mac,70780
0.13.23,1643315702.0,windows,121503
0.13.30,1646662381.0,linux,3395
0.13.30,1646662381.0,mac,4662
0.13.30,1646662381.0,windows,9235
0.13.31,1646777054.0,linux,26791
0.13.31,1646777054.0,mac,42151
0.13.31,1646777054.0,windows,77493
0.14.02,1648471650.0,linux,17081
0.14.02,1648471650.0,mac,34774
0.14.02,1648471650.0,windows,62718
0.14.05,1649678996.0,linux,8396
0.14.05,1649678996.0,mac,16232
0.14.05,1649678996.0,windows,28727
0.14.06,1650302993.0,linux,60116
0.14.06,1650302993.0,mac,93651
0.14.06,1650302993.0,windows,178996
0.14.15,1654604018.0,linux,38598
0.14.15,1654604018.0,mac,63365
0.14.15,1654604018.0,windows,125881
0.15.06,1657641762.0,linux,13669
0.15.06,1657641762.0,mac,24022
0.15.06,1657641762.0,windows,45592
0.15.08,1658513230.0,linux,7552
0.15.08,1658513230.0,mac,23186
0.15.08,1658513230.0,windows,39067
0.15.09,1658853650.0,linux,67553
0.15.09,1658853650.0,mac,185674
0.15.09,1658853650.0,windows,286699
